split,reference,metric,mean_diff,ci95,lower95,upper95,n
contact_mode_shift,authority_boundary_v4,override_precision,0.030002,0.001035,0.028967,0.031037,10
contact_mode_shift,authority_boundary_v4,recovery_success,0.068196,0.001139,0.067057,0.069335,10
contact_mode_shift,authority_boundary_v4,robust_utility,0.148144,0.030279,0.117865,0.178422,10
contact_mode_shift,authority_boundary_v4,safety_violation,-0.028646,0.031196,-0.059842,0.002550,10
contact_mode_shift,authority_boundary_v4,task_success,0.072917,0.038075,0.034842,0.110991,10
contact_mode_shift,authority_boundary_v4,unsafe_autonomy,0.025671,0.000412,0.025259,0.026083,10
contact_mode_shift,bayesian_authority_allocation,authority_regret,-0.020273,0.000873,-0.021145,-0.019400,10
contact_mode_shift,bayesian_authority_allocation,boundary_calibration_error,-0.000278,0.000614,-0.000892,0.000336,10
contact_mode_shift,bayesian_authority_allocation,handoff_churn,0.010211,0.001044,0.009167,0.011254,10
contact_mode_shift,bayesian_authority_allocation,human_burden,-0.023543,0.000952,-0.024495,-0.022591,10
contact_mode_shift,bayesian_authority_allocation,intervention_cost,0.006700,0.000588,0.006112,0.007288,10
contact_mode_shift,bayesian_authority_allocation,late_handoff,-0.036469,0.000584,-0.037053,-0.035886,10
contact_mode_shift,bayesian_authority_allocation,override_precision,0.040162,0.000863,0.039299,0.041026,10
contact_mode_shift,bayesian_authority_allocation,recovery_success,0.080114,0.000672,0.079441,0.080786,10
contact_mode_shift,bayesian_authority_allocation,robust_utility,0.069411,0.039388,0.030023,0.108799,10
contact_mode_shift,bayesian_authority_allocation,safety_violation,-0.005729,0.018912,-0.024641,0.013183,10
contact_mode_shift,bayesian_authority_allocation,task_success,0.044792,0.038744,0.006048,0.083535,10
contact_mode_shift,bayesian_authority_allocation,unsafe_autonomy,-0.002863,0.000417,-0.003280,-0.002446,10
contact_mode_shift,cbf_safety_filter,authority_regret,0.047857,0.000744,0.047113,0.048602,10
contact_mode_shift,cbf_safety_filter,boundary_calibration_error,0.009470,0.000829,0.008641,0.010300,10
contact_mode_shift,cbf_safety_filter,handoff_churn,0.081078,0.001057,0.080022,0.082135,10
contact_mode_shift,cbf_safety_filter,human_burden,0.381062,0.001438,0.379625,0.382500,10
contact_mode_shift,cbf_safety_filter,intervention_cost,0.153985,0.000594,0.153391,0.154579,10
contact_mode_shift,cbf_safety_filter,late_handoff,0.010975,0.000434,0.010541,0.011409,10
contact_mode_shift,cbf_safety_filter,override_precision,-0.029752,0.000871,-0.030623,-0.028881,10
contact_mode_shift,cbf_safety_filter,recovery_success,-0.035537,0.001084,-0.036621,-0.034453,10
contact_mode_shift,cbf_safety_filter,robust_utility,-0.244479,0.023412,-0.267891,-0.221068,10
contact_mode_shift,cbf_safety_filter,safety_violation,0.051042,0.037579,0.013463,0.088620,10
contact_mode_shift,cbf_safety_filter,task_success,-0.079688,0.027813,-0.107501,-0.051874,10
contact_mode_shift,cbf_safety_filter,unsafe_autonomy,-0.028864,0.000388,-0.029252,-0.028477,10
contact_mode_shift,mpc_risk_arbitration,authority_regret,0.069583,0.000613,0.068970,0.070196,10
contact_mode_shift,mpc_risk_arbitration,boundary_calibration_error,0.029758,0.000543,0.029215,0.030301,10
contact_mode_shift,mpc_risk_arbitration,handoff_churn,0.070732,0.000862,0.069870,0.071593,10
contact_mode_shift,mpc_risk_arbitration,human_burden,0.335195,0.001783,0.333412,0.336978,10
contact_mode_shift,mpc_risk_arbitration,intervention_cost,0.085985,0.000463,0.085522,0.086448,10
contact_mode_shift,mpc_risk_arbitration,late_handoff,0.027073,0.000457,0.026616,0.027530,10
contact_mode_shift,mpc_risk_arbitration,override_precision,-0.060009,0.001053,-0.061062,-0.058957,10
contact_mode_shift,mpc_risk_arbitration,recovery_success,-0.104767,0.001028,-0.105794,-0.103739,10
contact_mode_shift,mpc_risk_arbitration,robust_utility,-0.236017,0.034737,-0.270754,-0.201279,10
contact_mode_shift,mpc_risk_arbitration,safety_violation,0.017708,0.024922,-0.007213,0.042630,10
contact_mode_shift,mpc_risk_arbitration,task_success,-0.097396,0.039830,-0.137226,-0.057566,10
contact_mode_shift,mpc_risk_arbitration,unsafe_autonomy,-0.044920,0.000477,-0.045397,-0.044443,10
contact_mode_shift,pomdp_handoff_policy,authority_regret,0.031367,0.000599,0.030767,0.031966,10
contact_mode_shift,pomdp_handoff_policy,boundary_calibration_error,0.019803,0.000704,0.019099,0.020506,10
contact_mode_shift,pomdp_handoff_policy,handoff_churn,0.031159,0.000879,0.030280,0.032038,10
contact_mode_shift,pomdp_handoff_policy,human_burden,0.152276,0.001795,0.150481,0.154071,10
contact_mode_shift,pomdp_handoff_policy,intervention_cost,0.025135,0.000378,0.024758,0.025513,10
contact_mode_shift,pomdp_handoff_policy,late_handoff,0.001956,0.000548,0.001407,0.002504,10
contact_mode_shift,pomdp_handoff_policy,override_precision,-0.020129,0.000620,-0.020749,-0.019509,10
contact_mode_shift,pomdp_handoff_policy,recovery_success,-0.033570,0.001122,-0.034692,-0.032448,10
contact_mode_shift,pomdp_handoff_policy,robust_utility,-0.084108,0.039103,-0.123211,-0.045004,10
contact_mode_shift,pomdp_handoff_policy,safety_violation,-0.013021,0.022635,-0.035656,0.009614,10
contact_mode_shift,pomdp_handoff_policy,task_success,-0.038542,0.030595,-0.069136,-0.007947,10
contact_mode_shift,pomdp_handoff_policy,unsafe_autonomy,-0.025325,0.000449,-0.025774,-0.024876,10
contact_mode_shift,recovery_aware_mpc,authority_regret,0.055538,0.000459,0.055079,0.055997,10
contact_mode_shift,recovery_aware_mpc,boundary_calibration_error,0.020028,0.000620,0.019408,0.020648,10
contact_mode_shift,recovery_aware_mpc,handoff_churn,0.060598,0.001217,0.059381,0.061815,10
contact_mode_shift,recovery_aware_mpc,human_burden,0.288331,0.000830,0.287501,0.289162,10
contact_mode_shift,recovery_aware_mpc,intervention_cost,0.038097,0.000468,0.037629,0.038565,10
contact_mode_shift,recovery_aware_mpc,late_handoff,0.030823,0.000704,0.030119,0.031526,10
contact_mode_shift,recovery_aware_mpc,override_precision,-0.049293,0.000830,-0.050123,-0.048462,10
