stress_axis,stress_level,method,seed,n,task_success,safety_violation,authority_regret,human_burden,late_handoff,handoff_churn,recovery_success,intervention_cost,boundary_calibration_error,override_precision,unsafe_autonomy,robust_utility
authority_churn,0.00,recovery_aware_mpc,5,120,0.458333,0.216667,0.269557,0.420684,0.314593,0.317229,0.763567,0.335639,0.262084,0.555493,0.120608,0.094766
authority_churn,0.00,recovery_aware_mpc,6,120,0.483333,0.150000,0.269643,0.420949,0.308309,0.319082,0.767125,0.336151,0.262693,0.554692,0.120808,0.162030
authority_churn,0.00,recovery_aware_mpc,7,120,0.483333,0.225000,0.269673,0.422181,0.310284,0.315453,0.765152,0.336341,0.259521,0.554106,0.120569,0.115170
authority_churn,0.00,recovery_aware_mpc,8,120,0.441667,0.200000,0.269866,0.418175,0.308708,0.315665,0.767253,0.334458,0.261873,0.557374,0.119676,0.090500
authority_churn,0.00,recovery_aware_mpc,9,120,0.341667,0.241667,0.270609,0.422453,0.311805,0.320586,0.764533,0.336340,0.262881,0.554167,0.120984,-0.038038
authority_churn,0.20,authority_boundary_v5,0,120,0.383333,0.275000,0.327398,0.707692,0.342170,0.422111,0.606599,0.378020,0.283550,0.501257,0.068528,-0.133537
authority_churn,0.20,authority_boundary_v5,1,120,0.308333,0.233333,0.328636,0.708249,0.344493,0.416274,0.605957,0.376182,0.283395,0.503628,0.068041,-0.182685
authority_churn,0.20,authority_boundary_v5,2,120,0.325000,0.258333,0.330590,0.708393,0.341104,0.419754,0.607312,0.377958,0.282363,0.503820,0.068323,-0.181987
authority_churn,0.20,authority_boundary_v5,3,120,0.341667,0.275000,0.329697,0.707561,0.339309,0.421586,0.610211,0.378204,0.282178,0.506261,0.068528,-0.174955
authority_churn,0.20,authority_boundary_v5,4,120,0.325000,0.325000,0.330196,0.709238,0.340808,0.418079,0.611081,0.377083,0.284050,0.503844,0.068213,-0.222787
authority_churn,0.20,authority_boundary_v5,5,120,0.275000,0.266667,0.329980,0.707206,0.338936,0.418178,0.607680,0.376579,0.282056,0.505087,0.068621,-0.236013
authority_churn,0.20,authority_boundary_v5,6,120,0.266667,0.216667,0.331489,0.709109,0.341749,0.417621,0.608509,0.375381,0.282375,0.503466,0.068193,-0.214377
authority_churn,0.20,authority_boundary_v5,7,120,0.341667,0.325000,0.332260,0.710077,0.345685,0.417949,0.605439,0.378319,0.281170,0.502413,0.067544,-0.208177
authority_churn,0.20,authority_boundary_v5,8,120,0.291667,0.233333,0.330192,0.710013,0.338434,0.420095,0.607509,0.378134,0.283168,0.504840,0.068238,-0.199725
authority_churn,0.20,authority_boundary_v5,9,120,0.275000,0.250000,0.329001,0.709271,0.340934,0.414956,0.607705,0.378273,0.280169,0.505179,0.068000,-0.226030
authority_churn,0.20,bayesian_authority_allocation,0,120,0.266667,0.200000,0.350118,0.731811,0.379201,0.408458,0.527416,0.371476,0.282401,0.464510,0.068718,-0.225139
authority_churn,0.20,bayesian_authority_allocation,1,120,0.283333,0.225000,0.352203,0.737008,0.380840,0.407417,0.528363,0.371383,0.281408,0.462646,0.067400,-0.225793
authority_churn,0.20,bayesian_authority_allocation,2,120,0.216667,0.275000,0.350486,0.733011,0.376461,0.408739,0.525980,0.370094,0.282280,0.465919,0.068462,-0.321591
authority_churn,0.20,bayesian_authority_allocation,3,120,0.216667,0.283333,0.348696,0.731878,0.375913,0.406954,0.529349,0.368532,0.281223,0.463791,0.068535,-0.325311
authority_churn,0.20,bayesian_authority_allocation,4,120,0.275000,0.258333,0.349080,0.734328,0.375843,0.409630,0.527549,0.371345,0.282633,0.465034,0.067939,-0.252896
authority_churn,0.20,bayesian_authority_allocation,5,120,0.250000,0.241667,0.348516,0.728620,0.373355,0.406732,0.531062,0.369074,0.282196,0.464164,0.069882,-0.264798
authority_churn,0.20,bayesian_authority_allocation,6,120,0.233333,0.325000,0.349762,0.733386,0.376932,0.406065,0.527626,0.372302,0.281818,0.465183,0.068431,-0.335677
authority_churn,0.20,bayesian_authority_allocation,7,120,0.325000,0.250000,0.352076,0.735591,0.377930,0.409531,0.525697,0.371445,0.282699,0.462307,0.068174,-0.199262
authority_churn,0.20,bayesian_authority_allocation,8,120,0.333333,0.250000,0.350173,0.736484,0.376039,0.410642,0.529955,0.372723,0.280683,0.463914,0.067506,-0.190285
authority_churn,0.20,bayesian_authority_allocation,9,120,0.216667,0.258333,0.349370,0.732646,0.376006,0.405161,0.530377,0.369526,0.281030,0.463948,0.068360,-0.309980
authority_churn,0.20,cbf_safety_filter,0,120,0.383333,0.191667,0.281351,0.330418,0.329497,0.338259,0.644029,0.224407,0.271984,0.535675,0.111878,0.050633
authority_churn,0.20,cbf_safety_filter,1,120,0.408333,0.133333,0.279095,0.327673,0.328856,0.338564,0.641134,0.224958,0.272383,0.531729,0.113493,0.112802
authority_churn,0.20,cbf_safety_filter,2,120,0.391667,0.150000,0.282358,0.323572,0.330644,0.337218,0.644874,0.223494,0.272016,0.536081,0.112554,0.086291
authority_churn,0.20,cbf_safety_filter,3,120,0.366667,0.216667,0.281321,0.327433,0.328734,0.340142,0.644846,0.225033,0.270265,0.535523,0.111724,0.019089
authority_churn,0.20,cbf_safety_filter,4,120,0.441667,0.133333,0.279701,0.327337,0.330026,0.339069,0.643924,0.223602,0.270971,0.534014,0.112072,0.146175
authority_churn,0.20,cbf_safety_filter,5,120,0.366667,0.141667,0.280912,0.325846,0.328009,0.338185,0.647575,0.223827,0.272812,0.535860,0.112828,0.066762
authority_churn,0.20,cbf_safety_filter,6,120,0.383333,0.241667,0.281654,0.329654,0.328190,0.340788,0.643887,0.224568,0.271095,0.532613,0.112028,0.019619
authority_churn,0.20,cbf_safety_filter,7,120,0.450000,0.141667,0.282381,0.328784,0.333265,0.338445,0.644880,0.223567,0.271846,0.533844,0.112616,0.147961
authority_churn,0.20,cbf_safety_filter,8,120,0.350000,0.208333,0.279722,0.328433,0.329717,0.341192,0.644258,0.222105,0.273705,0.534485,0.112272,0.007711
authority_churn,0.20,cbf_safety_filter,9,120,0.483333,0.175000,0.279769,0.329130,0.329462,0.335774,0.647002,0.225740,0.271561,0.533528,0.111286,0.162079
authority_churn,0.20,confidence_threshold_shared_control,0,120,0.133333,0.375000,0.457830,0.886207,0.431722,0.467795,0.334710,0.379025,0.342484,0.345078,0.062439,-0.562650
authority_churn,0.20,confidence_threshold_shared_control,1,120,0.133333,0.291667,0.457009,0.883940,0.431960,0.465712,0.335434,0.377730,0.342440,0.346151,0.062643,-0.509835
authority_churn,0.20,confidence_threshold_shared_control,2,120,0.116667,0.341667,0.456771,0.880816,0.430519,0.468464,0.332708,0.378188,0.340864,0.345786,0.063093,-0.557056
authority_churn,0.20,confidence_threshold_shared_control,3,120,0.183333,0.350000,0.457756,0.882169,0.430281,0.469751,0.334007,0.375569,0.340281,0.343700,0.062615,-0.495878
authority_churn,0.20,confidence_threshold_shared_control,4,120,0.125000,0.266667,0.458400,0.882861,0.430410,0.468281,0.332954,0.377998,0.341750,0.346122,0.062270,-0.503043
authority_churn,0.20,confidence_threshold_shared_control,5,120,0.191667,0.266667,0.456574,0.881983,0.430068,0.468085,0.337003,0.376835,0.342558,0.344393,0.063060,-0.435191
authority_churn,0.20,confidence_threshold_shared_control,6,120,0.141667,0.358333,0.457360,0.884393,0.430690,0.467264,0.334507,0.376961,0.342408,0.345718,0.062709,-0.543012
