split,ablation,metric,mean,ci95,n
low_signal_high_risk_shift,minus_consequence_risk_model,robust_utility,-0.242890,0.015347,10
low_signal_high_risk_shift,minus_handoff_hysteresis,task_success,0.363690,0.028121,10
low_signal_high_risk_shift,minus_handoff_hysteresis,safety_violation,0.233929,0.023849,10
low_signal_high_risk_shift,minus_handoff_hysteresis,authority_regret,0.328688,0.000577,10
low_signal_high_risk_shift,minus_handoff_hysteresis,human_burden,0.713009,0.001030,10
low_signal_high_risk_shift,minus_handoff_hysteresis,late_handoff,0.325277,0.000482,10
low_signal_high_risk_shift,minus_handoff_hysteresis,handoff_churn,0.554263,0.000983,10
low_signal_high_risk_shift,minus_handoff_hysteresis,recovery_success,0.592484,0.000470,10
low_signal_high_risk_shift,minus_handoff_hysteresis,intervention_cost,0.400923,0.000639,10
low_signal_high_risk_shift,minus_handoff_hysteresis,boundary_calibration_error,0.292989,0.000731,10
low_signal_high_risk_shift,minus_handoff_hysteresis,override_precision,0.471998,0.000558,10
low_signal_high_risk_shift,minus_handoff_hysteresis,unsafe_autonomy,0.067360,0.000289,10
low_signal_high_risk_shift,minus_handoff_hysteresis,robust_utility,-0.145889,0.023855,10
low_signal_high_risk_shift,minus_human_burden_model,task_success,0.334524,0.022259,10
low_signal_high_risk_shift,minus_human_burden_model,safety_violation,0.253571,0.016147,10
low_signal_high_risk_shift,minus_human_burden_model,authority_regret,0.309364,0.000799,10
low_signal_high_risk_shift,minus_human_burden_model,human_burden,0.882380,0.000797,10
low_signal_high_risk_shift,minus_human_burden_model,late_handoff,0.313769,0.001223,10
low_signal_high_risk_shift,minus_human_burden_model,handoff_churn,0.425345,0.000347,10
low_signal_high_risk_shift,minus_human_burden_model,recovery_success,0.623267,0.000449,10
low_signal_high_risk_shift,minus_human_burden_model,intervention_cost,0.426008,0.000464,10
low_signal_high_risk_shift,minus_human_burden_model,boundary_calibration_error,0.302998,0.000665,10
low_signal_high_risk_shift,minus_human_burden_model,override_precision,0.482765,0.000739,10
low_signal_high_risk_shift,minus_human_burden_model,unsafe_autonomy,0.049213,0.000127,10
low_signal_high_risk_shift,minus_human_burden_model,robust_utility,-0.205786,0.022209,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,task_success,0.401190,0.027837,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,safety_violation,0.236905,0.023255,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,authority_regret,0.286575,0.000533,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,human_burden,0.501584,0.001073,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,late_handoff,0.302637,0.000705,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,handoff_churn,0.364542,0.000787,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,recovery_success,0.641065,0.000800,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,intervention_cost,0.303822,0.000576,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,boundary_calibration_error,0.303007,0.000573,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,override_precision,0.502030,0.000375,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,unsafe_autonomy,0.122729,0.000342,10
low_signal_high_risk_shift,minus_intent_ambiguity_gate,robust_utility,-0.008978,0.033318,10
low_signal_high_risk_shift,minus_recovery_feasibility,task_success,0.298810,0.028140,10
low_signal_high_risk_shift,minus_recovery_feasibility,safety_violation,0.239881,0.020434,10
low_signal_high_risk_shift,minus_recovery_feasibility,authority_regret,0.342999,0.000592,10
low_signal_high_risk_shift,minus_recovery_feasibility,human_burden,0.672306,0.000958,10
low_signal_high_risk_shift,minus_recovery_feasibility,late_handoff,0.327324,0.000933,10
low_signal_high_risk_shift,minus_recovery_feasibility,handoff_churn,0.404701,0.000674,10
low_signal_high_risk_shift,minus_recovery_feasibility,recovery_success,0.453800,0.000547,10
low_signal_high_risk_shift,minus_recovery_feasibility,intervention_cost,0.332627,0.000626,10
low_signal_high_risk_shift,minus_recovery_feasibility,boundary_calibration_error,0.302746,0.000516,10
low_signal_high_risk_shift,minus_recovery_feasibility,override_precision,0.462789,0.000742,10
low_signal_high_risk_shift,minus_recovery_feasibility,unsafe_autonomy,0.076892,0.000265,10
low_signal_high_risk_shift,minus_recovery_feasibility,robust_utility,-0.194914,0.023157,10
low_signal_high_risk_shift,mpc_only_boundary,task_success,0.441667,0.034731,10
low_signal_high_risk_shift,mpc_only_boundary,safety_violation,0.208333,0.016407,10
low_signal_high_risk_shift,mpc_only_boundary,authority_regret,0.264186,0.000644,10
low_signal_high_risk_shift,mpc_only_boundary,human_burden,0.366632,0.001109,10
low_signal_high_risk_shift,mpc_only_boundary,late_handoff,0.287113,0.000976,10
low_signal_high_risk_shift,mpc_only_boundary,handoff_churn,0.344619,0.000714,10
low_signal_high_risk_shift,mpc_only_boundary,recovery_success,0.731365,0.000744,10
low_signal_high_risk_shift,mpc_only_boundary,intervention_cost,0.291605,0.000464,10
low_signal_high_risk_shift,mpc_only_boundary,boundary_calibration_error,0.273043,0.000486,10
low_signal_high_risk_shift,mpc_only_boundary,override_precision,0.542689,0.000844,10
low_signal_high_risk_shift,mpc_only_boundary,unsafe_autonomy,0.127523,0.000330,10
low_signal_high_risk_shift,mpc_only_boundary,robust_utility,0.100518,0.036841,10
low_signal_high_risk_shift,safety_only_boundary,task_success,0.446429,0.025913,10
low_signal_high_risk_shift,safety_only_boundary,safety_violation,0.168452,0.018573,10
low_signal_high_risk_shift,safety_only_boundary,authority_regret,0.274452,0.000371,10
low_signal_high_risk_shift,safety_only_boundary,human_burden,0.310890,0.001145,10
low_signal_high_risk_shift,safety_only_boundary,late_handoff,0.302082,0.000667,10
low_signal_high_risk_shift,safety_only_boundary,handoff_churn,0.334677,0.000651,10
low_signal_high_risk_shift,safety_only_boundary,recovery_success,0.660944,0.000576,10
low_signal_high_risk_shift,safety_only_boundary,intervention_cost,0.222862,0.000451,10
low_signal_high_risk_shift,safety_only_boundary,boundary_calibration_error,0.293121,0.000435,10
low_signal_high_risk_shift,safety_only_boundary,override_precision,0.511663,0.000742,10
low_signal_high_risk_shift,safety_only_boundary,unsafe_autonomy,0.123456,0.000468,10
low_signal_high_risk_shift,safety_only_boundary,robust_utility,0.140856,0.025303,10
